model_seg,data_hora,img_altura,img_largura,tipo_imagem,img_canais,img_passo,remove_black_images,data_augmentation,proporcao_min,train_size,test_size,val_size,caminho_imagens,qnt_recortes,seed,len_train,len_val,len_test,epochs,batch_size,learn_rate,min_learn_rate,start_filters,modelo_salvo,pesos_modelo,dice_evaluate,iou_evaluate,loss_evaluate,dice_calc_metrics,iou_calc_metrics,sensitivity_calc_metrics,specificity_calc_metrics,accuracy_calc_metrics,auc_calc_metrics,prec_calc_metrics,fscore_calc_metrics
UNet_padrao,26-07-2022_19-06-57,128,128,RGB,3,32,False,Não,0.5,0.8,0.15,0.05,../dataset/lamina/4_divisao_deixar_apenas_uma_imagem_por_campo_de_lamina_SEM_ERROS/Positivo/,280810,42,8278,532,28221,100,6,0.0001,1e-05,32,modelo/modelo_UNet_padrao_26-07-2022_19-06-57.json,modelo/modelo_UNet_padrao_26-07-2022_2022_19-06-57.h5,0.3521520495414734,0.3146128952503204,0.6478102207183838,0.7081129575339432,0.5481229660622966,0.9651247663615156,0.9990339604739582,0.9989909572201884,0.9820793634177368,0.5591992735400397,0.7081129575339432
UNet_padrao,27-07-2022_05-25-00,512,512,RGB,3,256,False,Não,0.5,0.75,0.15,0.1,../dataset/lamina/4_divisao_deixar_apenas_uma_imagem_por_campo_de_lamina_SEM_ERROS/Positivo/,4253,42,1192,166,210,200,6,0.001,1e-05,32,modelo/modelo_UNet_padrao_27-07-2022_05-25-00.json,modelo/modelo_UNet_padrao_27-07-2022_05-25-00.h5,0.4844848215579986,0.3495978713035583,0.4910372197628021,0.6307147121488468,0.460616,0.6012824127740009,0.9994678687087276,0.9987752460298084,0.8003751407413642,0.6631805669135348,0.6307147121488468
UNet_padrao,04-08-2022_10-29-19,128,128,RGB,3,32,True,Não,0.5,0.8,0.15,0.05,../dataset/lamina/4_divisao_deixar_apenas_uma_imagem_por_campo_de_lamina_SEM_ERROS/Positivo/,30511,42,10888,664,3066,100,6,0.0001,1e-06,32,modelo/modelo_UNet_padrao_04-08-2022_10-29-19.json,modelo/modelo_UNet_padrao_04-08-2022_10-29-19.h5,0.9664475321769714,0.9373447895050048,0.033417671918869,0.9694429015388925,0.940697903091954,0.9865875888983028,0.9988382523921288,0.9985532916144304,0.992712920645216,0.9528839477599604,0.9694429015388925
UNet_padrao,04-09-2022_21-50-59,128,128,RGB,3,32,True,Não,0.5,0.8,0.15,0.05,../dataset/lamina/4_divisao_deixar_apenas_uma_imagem_por_campo_de_lamina_SEM_ERROS/Positivo/,30511,42,11148,252,3490,100,6,0.0001,1e-06,32,modelo/modelo_UNet_padrao_04-09-2022_21-50-59.json,modelo/modelo_UNet_padrao_04-09-2022_21-50-59.h5,0.4537249803543091,0.369464635848999,0.542374849319458,0.7719875459604303,0.6286479778124098,0.736031203299746,0.9957824182946252,0.9895234990598136,0.8659068107971856,0.8116375260312871,0.7719875459604303
UNet_padrao,04-09-2022_22-15-15,128,128,RGB,3,32,True,Não,0.5,0.7,0.2,0.1,../dataset/lamina/4_divisao_deixar_apenas_uma_imagem_por_campo_de_lamina_SEM_ERROS/Positivo/,30511,42,10746,816,3756,100,6,1e-05,1e-06,32,modelo/modelo_UNet_padrao_04-09-2022_22-15-15.json,modelo/modelo_UNet_padrao_04-09-2022_22-15-15.h5,0.4099159240722656,0.3354192972183227,0.5879013538360596,0.7689561587670868,0.6246375092514682,0.7594579490638572,0.9952273315772804,0.9901267184743991,0.8773426403205687,0.7786951277931896,0.7689561587670868
UNet_padrao,04-09-2022_22-59-33,256,256,RGB,3,64,True,Não,0.5,0.8,0.15,0.05,../dataset/lamina/4_divisao_deixar_apenas_uma_imagem_por_campo_de_lamina_SEM_ERROS/Positivo/,10691,42,9046,324,1321,100,6,0.0001,1e-06,32,modelo/modelo_UNet_padrao_04-09-2022_22-59-33.json,modelo/modelo_UNet_padrao_04-09-2022_22-59-33.h5,0.5223942995071411,0.4032751321792602,0.468510240316391,0.6764245791023202,0.5110585830035687,0.5621856302563497,0.9982560292733796,0.99078448842097,0.7802208297648647,0.8489319443468842,0.6764245791023202
UNet_padrao,11-09-2022_23-59-39,128,128,RGB,3,32,True,Erro,0.5,0.7,0.2,0.1,../dataset/lamina/4_divisao_deixar_apenas_uma_imagem_por_campo_de_lamina_SEM_ERROS/Positivo/,30511,42,35481,2836,3756,100,6,0.0001,1e-06,32,modelo/modelo_UNet_padrao_11-09-2022_23-59-39.json,modelo/modelo_UNet_padrao_11-09-2022_23-59-39.h5,0.3575313985347748,0.2874404191970825,0.6405647993087769,0.7069621710258865,0.5467451571674319,0.6204734570507033,0.9970181701493463,0.9888720365124136,0.8087458136000248,0.8214679590641356,0.7069621710258865
UNet_padrao,12-09-2022_02-18-39,128,128,RGB,3,32,False,Sim,0.5,0.7,0.2,0.1,../dataset/lamina/4_divisao_deixar_apenas_uma_imagem_por_campo_de_lamina_SEM_ERROS/Positivo/,34192,42,43868,3594,4073,100,6,0.0001,1e-06,32,modelo/modelo_UNet_padrao_12-09-2022_02-18-39.json,modelo/modelo_UNet_padrao_12-09-2022_02-18-39.h5,0.3492522835731506,0.2863227128982544,0.6487755179405212,0.7040456508312172,0.543264237110503,0.610912226567136,0.9974652113146524,0.9897534215652236,0.8041887189408943,0.8306832643239567,0.7040456508312172
UNet_padrao,12-09-2022_03-47-25,128,128,RGB,3,32,True,Sim,0.5,0.7,0.2,0.1,../dataset/lamina/4_divisao_deixar_apenas_uma_imagem_por_campo_de_lamina_SEM_ERROS/Positivo/,30511,42,35481,2836,3756,100,32,0.001,1e-06,64,modelo/modelo_UNet_padrao_12-09-2022_03-47-25.json,modelo/modelo_UNet_padrao_12-09-2022_03-47-25.h5,0.4225936532020569,0.3527314662933349,0.5751582384109497,0.7882168650988881,0.6504603360098843,0.7521373620348017,0.9965435076558388,0.991256047615482,0.8743404348453202,0.8279323354585646,0.7882168650988881
UNet_padrao,12-09-2022_08-56-39,128,128,RGB,3,32,True,Sim,0.5,0.7,0.2,0.1,../dataset/lamina/4_divisao_deixar_apenas_uma_imagem_por_campo_de_lamina_SEM_ERROS/Positivo/,30511,42,35481,2836,3756,100,32,0.0001,1e-06,64,modelo/modelo_UNet_padrao_12-09-2022_08-56-39.json,modelo/modelo_UNet_padrao_12-09-2022_08-56-39.h5,0.4070523679256439,0.3357188403606415,0.5907800793647766,0.7653127520661764,0.6198434083990763,0.7034140706099388,0.9970187016490942,0.9906668861072284,0.8502163861295164,0.8391565655072175,0.7653127520661764
