loss,dice_coef,iou_coef,val_loss,val_dice_coef,val_iou_coef,lr
0.8893211483955383,0.11049335449934006,0.06169220432639122,0.8603490591049194,0.13826264441013336,0.0762382224202156,0.001
0.630129337310791,0.36925122141838074,0.24175357818603516,0.7979791760444641,0.1998520940542221,0.11934781819581985,0.001
0.5534902811050415,0.44697627425193787,0.3067595958709717,0.6236248016357422,0.3732481300830841,0.25303131341934204,0.001
0.5227663516998291,0.4777458608150482,0.3323920965194702,0.5120128989219666,0.48718351125717163,0.33803752064704895,0.001
0.49916312098503113,0.501439094543457,0.356722891330719,0.5477111339569092,0.45050254464149475,0.3125041127204895,0.001
0.4719206988811493,0.527460515499115,0.38408222794532776,0.43921205401420593,0.5585552453994751,0.4122708737850189,0.001
0.4620727002620697,0.5382005572319031,0.3892996609210968,0.568329393863678,0.42653176188468933,0.299910306930542,0.001
0.474074125289917,0.526026725769043,0.3825671076774597,0.7226818203926086,0.2744765281677246,0.17308615148067474,0.001
0.45891955494880676,0.5417444705963135,0.3977302610874176,0.5769351124763489,0.42209190130233765,0.28936532139778137,0.001
0.45121467113494873,0.5493066906929016,0.40206024050712585,0.4417092204093933,0.5587261319160461,0.40789031982421875,0.001
0.4538455903530121,0.5463212728500366,0.4050474762916565,0.49498042464256287,0.5002639293670654,0.36360034346580505,0.001
0.40122050046920776,0.5985050797462463,0.45306459069252014,0.45853909850120544,0.5359121561050415,0.39455312490463257,0.000100000005
0.3734276294708252,0.6258772611618042,0.48002877831459045,0.3873586654663086,0.6090989708900452,0.4668417274951935,0.000100000005
0.36763787269592285,0.6323111653327942,0.48517170548439026,0.4345937967300415,0.5589772462844849,0.4166192412376404,0.000100000005
0.3622768521308899,0.6366550326347351,0.4918954372406006,0.4109644591808319,0.5820441842079163,0.44041556119918823,0.000100000005
0.36560559272766113,0.6348521113395691,0.49356627464294434,0.39374426007270813,0.5991430282592773,0.45865562558174133,0.000100000005
0.37009671330451965,0.6290292739868164,0.48647117614746094,0.4050878882408142,0.5897677540779114,0.45005911588668823,0.000100000005
0.330791711807251,0.6686486005783081,0.523076593875885,0.39738979935646057,0.5960682034492493,0.4529080092906952,0.000100000005
